model,model_label,epoch,count,mean,std,min,max
vit_baseline,ViT Baseline (No Pos),35,5,0.5836216664822896,0.0160769700892124,0.5660710331175063,0.6025850271330939
vit_baseline,ViT Baseline (No Pos),36,5,0.5735650596184201,0.019931953540076843,0.5544548918512132,0.5956916203074986
vit_baseline,ViT Baseline (No Pos),37,5,0.557083342394299,0.018396762429649206,0.5379279361936781,0.5793747961892022
vit_baseline,ViT Baseline (No Pos),38,5,0.5429639464728038,0.019124334947265533,0.523089619954427,0.564134944820404
vit_baseline,ViT Baseline (No Pos),39,5,0.527709045477973,0.016722985664822946,0.5116041186756558,0.5497388136015998
vit_baseline,ViT Baseline (No Pos),40,5,0.5146647938601175,0.021247630605040053,0.49247544695536294,0.5396863242997063
vit_baseline,ViT Baseline (No Pos),41,5,0.5015454339366489,0.018686966430147528,0.4843956797069973,0.5252194498274061
vit_baseline,ViT Baseline (No Pos),42,5,0.4886619583839841,0.01790966250293962,0.4713697464942932,0.5081097330888112
vit_baseline,ViT Baseline (No Pos),43,5,0.45708324836730957,0.044614902064103186,0.38717010533544755,0.4987576507568359
vit_baseline,ViT Baseline (No Pos),44,5,0.4451374990155962,0.05300525961934244,0.3555963132010566,0.4883262094921536
vit_baseline,ViT Baseline (No Pos),45,5,0.42751009734047785,0.0509726743895214,0.345451363102595,0.47163340411186216
vit_baseline,ViT Baseline (No Pos),46,5,0.42023627835379707,0.050829341073349354,0.33481609112421673,0.4589066560321384
vit_baseline,ViT Baseline (No Pos),47,5,0.40452086252212527,0.05374560584220287,0.31474684869978165,0.4490108658578661
vit_baseline,ViT Baseline (No Pos),48,5,0.35895308767530654,0.0386906540197878,0.3075853346241845,0.39888847697575885
vit_baseline,ViT Baseline (No Pos),49,5,0.3273703182962206,0.03845591785787495,0.29775429153442384,0.3918985553688473
vit_baseline,ViT Baseline (No Pos),50,5,0.3108888617388407,0.0421289035569246,0.2673349606513977,0.3798087950759464
vit_baseline,ViT Baseline (No Pos),51,5,0.2904677695451842,0.04755132766526868,0.23517258501052857,0.3598612222406599
vit_baseline,ViT Baseline (No Pos),52,5,0.2794680886517631,0.05162751810857084,0.21596215827729967,0.3524813549836477
vit_baseline,ViT Baseline (No Pos),53,5,0.27073373479366303,0.052355701212346194,0.21121422321266597,0.34982861851586233
