model,model_label,epoch,count,mean,std,min,max
vit_no_pos,vit_no_pos,33,5,0.7790266666666666,0.006630036403825356,0.7697111111111111,0.7855777777777778
vit_no_pos,vit_no_pos,34,5,0.7846266666666667,0.005332208214655988,0.7768888888888889,0.7899333333333334
vit_no_pos,vit_no_pos,35,5,0.79052,0.005118029134561688,0.7838888888888889,0.7966888888888889
vit_no_pos,vit_no_pos,36,5,0.7935155555555555,0.008068294907602823,0.7841111111111111,0.8017777777777778
vit_no_pos,vit_no_pos,37,5,0.7997866666666666,0.006801408713922968,0.7907777777777778,0.8065555555555556
vit_no_pos,vit_no_pos,38,5,0.8042222222222222,0.0073652336464409985,0.7950444444444444,0.8121111111111111
vit_no_pos,vit_no_pos,39,5,0.8108533333333333,0.006089164632847903,0.8024222222222223,0.8176666666666667
vit_no_pos,vit_no_pos,40,5,0.8151022222222222,0.007474427183964984,0.8057111111111112,0.8219333333333333
vit_no_pos,vit_no_pos,41,5,0.8195511111111111,0.006560664675751555,0.8100444444444445,0.8256888888888889
vit_no_pos,vit_no_pos,42,5,0.8238622222222223,0.006255928546211869,0.8176666666666667,0.8310444444444445
vit_no_pos,vit_no_pos,43,5,0.8356533333333334,0.016347798583250205,0.8201333333333334,0.8619777777777777
vit_no_pos,vit_no_pos,44,5,0.8407422222222222,0.018641898912442615,0.8247111111111111,0.8722222222222222
vit_no_pos,vit_no_pos,45,5,0.8462755555555556,0.019020356865964504,0.8306,0.8772444444444445
vit_no_pos,vit_no_pos,46,5,0.8474,0.018612301786124615,0.8335555555555556,0.8792888888888889
vit_no_pos,vit_no_pos,47,5,0.8539155555555555,0.020382220526239208,0.837,0.8882666666666666
vit_no_pos,vit_no_pos,48,5,0.8718666666666667,0.014624223098495428,0.8562444444444445,0.8909555555555555
vit_no_pos,vit_no_pos,49,5,0.8837688888888889,0.013750282600911806,0.8606666666666667,0.8946444444444445
vit_no_pos,vit_no_pos,50,5,0.8892933333333334,0.01591920495564249,0.8627555555555556,0.905
vit_no_pos,vit_no_pos,51,5,0.8972266666666666,0.017593099096022535,0.8713555555555555,0.9181111111111111
vit_no_pos,vit_no_pos,52,5,0.8995688888888889,0.02026561644452356,0.8706222222222222,0.9247555555555556
vit_no_pos,vit_no_pos,53,5,0.9035955555555556,0.020038040366472835,0.8738,0.9268444444444445
vit_no_pos,vit_no_pos,54,5,0.9128755555555556,0.011563326446940702,0.9007111111111111,0.9300444444444445
vit_no_pos,vit_no_pos,55,5,0.9163644444444444,0.010727691178659638,0.9036222222222222,0.9289333333333334
vit_no_pos,vit_no_pos,56,5,0.9241511111111111,0.014274767516647016,0.9077555555555555,0.9416666666666667
vit_no_pos,vit_no_pos,57,5,0.9306577777777778,0.013248224665596622,0.9123555555555556,0.9486444444444444
